layers,trainable_phases,insertion_loss_db,spatial_sinr_db,respiration_rmse_bpm,heart_rmse_bpm
1,36,0.5,5.344529409875918,0.05284840588642927,0.145121952265596
2,72,1.0,8.291740024701587,0.04715923916088014,0.08400831283956732
3,108,1.5,8.078105637676265,0.0477465900927325,0.09165493497478072
4,144,2.0,7.721574228474554,0.04841842537877832,0.10517066914846301
5,180,2.5,7.352006093382317,0.04790514732702047,0.11091866132527722
