phase_bits,method,spatial_sinr_db,respiration_rmse_bpm,heart_rmse_bpm
continuous,Continuous phase,9.252973202612607,0.04742031095626523,0.0778584707002218
1,1-bit phase,-5.6292065311624535,6.880113499963997,25.63300470166307
2,2-bit phase,-6.143782478790318,11.393607163284706,23.923162997520492
3,3-bit phase,1.501401330723418,0.7560181265347858,5.614924008635878
4,4-bit phase,5.697390980765111,0.054599316186871284,1.9132273011392735
6,6-bit phase,8.9992902351672,0.04745464797480759,0.08205664249939609
