study,method,bmi,trial,snr_db,respiration_true_bpm,respiration_est_bpm,respiration_abs_error_bpm,heart_true_bpm,heart_est_bpm,heart_abs_error_bpm,spatial_sinr_db
depth,1-layer adaptive SIM,18.0,0.0,8.0,21.224667634683673,21.17936308917312,0.04530454551055385,93.8868299154378,93.7475184035107,0.13931151192710445,5.20190756087551
depth,2-layer adaptive SIM,18.0,0.0,8.0,21.224667634683673,21.180948669220786,0.04371896546288667,93.8868299154378,93.86559811559925,0.02123179983854584,7.591199676225575
depth,3-layer adaptive SIM,18.0,0.0,8.0,21.224667634683673,21.17379939524682,0.050868239436852036,93.8868299154378,93.82220976267165,0.06462015276615318,7.384952247939115
depth,4-layer adaptive SIM,18.0,0.0,8.0,21.224667634683673,21.18339468120793,0.04127295347574389,93.8868299154378,93.8488038436826,0.03802607175519768,7.068235577340129
depth,5-layer adaptive SIM,18.0,0.0,8.0,21.224667634683673,21.170802725362,0.053864909321671206,93.8868299154378,93.95398180662994,0.0671518911921396,6.762071961422614
depth,1-layer adaptive SIM,18.0,1.0,8.0,13.81368944972149,13.763634844749012,0.0500546049724786,63.74485564877483,63.92441599363464,0.17956034485980865,4.426571505718597
depth,2-layer adaptive SIM,18.0,1.0,8.0,13.81368944972149,13.76320858281005,0.050480866911440714,63.74485564877483,63.75783837451106,0.012982725736229384,7.601447004966885
depth,3-layer adaptive SIM,18.0,1.0,8.0,13.81368944972149,13.761348085726423,0.05234136399506717,63.74485564877483,63.86411637016215,0.11926072138732025,7.353588889550795
depth,4-layer adaptive SIM,18.0,1.0,8.0,13.81368944972149,13.772372942948799,0.0413165067726915,63.74485564877483,63.69537256030943,0.049483088465400726,7.000360093082142
depth,5-layer adaptive SIM,18.0,1.0,8.0,13.81368944972149,13.75530596009502,0.05838348962647011,63.74485564877483,63.88904371290565,0.14418806413081597,6.653029571242744
depth,1-layer adaptive SIM,18.0,2.0,8.0,17.77464169618271,17.7252747766087,0.04936691957400896,87.71790774476614,87.49630741235457,0.22160033241156896,5.208538415225531
depth,2-layer adaptive SIM,18.0,2.0,8.0,17.77464169618271,17.73091157946946,0.04373011671324889,87.71790774476614,87.77892472615784,0.06101698139170253,8.158643349705663
depth,3-layer adaptive SIM,18.0,2.0,8.0,17.77464169618271,17.725767963987114,0.04887373219559521,87.71790774476614,87.62474188304509,0.09316586172104735,7.9379701423349545
depth,4-layer adaptive SIM,18.0,2.0,8.0,17.77464169618271,17.73216513753865,0.04247655864405786,87.71790774476614,87.62076907887851,0.09713866588762698,7.596732905749677
depth,5-layer adaptive SIM,18.0,2.0,8.0,17.77464169618271,17.72953327920286,0.04510841697984702,87.71790774476614,87.70104001871084,0.016867726055295407,7.262840069688757
depth,1-layer adaptive SIM,18.0,3.0,8.0,22.01019778359408,21.92980895929499,0.08038882429908867,78.92400159445872,79.22098382296518,0.29698222850646516,5.146241275602026
depth,2-layer adaptive SIM,18.0,3.0,8.0,22.01019778359408,21.96317411041494,0.047023673179140246,78.92400159445872,78.93873392647869,0.014732332019974592,8.304798196542338
depth,3-layer adaptive SIM,18.0,3.0,8.0,22.01019778359408,21.960152973058204,0.050044810535876394,78.92400159445872,78.98445128055417,0.06044968609545265,7.996064571043178
depth,4-layer adaptive SIM,18.0,3.0,8.0,22.01019778359408,21.963893002796404,0.046304780797676415,78.92400159445872,78.92044354810731,0.0035580463514008898,7.623602543894211
depth,5-layer adaptive SIM,18.0,3.0,8.0,22.01019778359408,21.96955763512985,0.04064014846423092,78.92400159445872,78.9663352874625,0.042333693003783424,7.259469263099052
depth,1-layer adaptive SIM,18.0,4.0,8.0,20.533185646412704,20.486017487287466,0.04716815912523842,92.00746081203042,92.01267243587576,0.005211623845340796,4.889769518819226
depth,2-layer adaptive SIM,18.0,4.0,8.0,20.533185646412704,20.488854987755502,0.04433065865720209,92.00746081203042,92.11654428593562,0.10908347390520134,8.059601881190217
depth,3-layer adaptive SIM,18.0,4.0,8.0,20.533185646412704,20.484493691705964,0.04869195470674015,92.00746081203042,91.99784524654112,0.009615565489298206,7.78724700918596
depth,4-layer adaptive SIM,18.0,4.0,8.0,20.533185646412704,20.4928463789949,0.040339267417802915,92.00746081203042,92.0503829731137,0.04292216108328262,7.427671131400063
depth,5-layer adaptive SIM,18.0,4.0,8.0,20.533185646412704,20.481508984050492,0.0516766623622118,92.00746081203042,92.1220036587441,0.11454284671368953,7.075701214409929
depth,1-layer adaptive SIM,18.0,5.0,8.0,14.531844382913167,14.480593094557095,0.05125128835607207,94.6112009431266,94.66363315040283,0.052432207276225995,5.253935729728177
depth,2-layer adaptive SIM,18.0,5.0,8.0,14.531844382913167,14.486621956751799,0.04522242616136829,94.6112009431266,94.68347251610277,0.07227157297616316,8.349458365720281
depth,3-layer adaptive SIM,18.0,5.0,8.0,14.531844382913167,14.48176567711349,0.050078705799677437,94.6112009431266,94.61394725833856,0.0027463152119509004,8.05191082829178
depth,4-layer adaptive SIM,18.0,5.0,8.0,14.531844382913167,14.478750381013214,0.053094001899953724,94.6112009431266,94.67824674997853,0.06704580685192241,7.681609481650118
depth,5-layer adaptive SIM,18.0,5.0,8.0,14.531844382913167,14.493188266678546,0.03865611623462151,94.6112009431266,94.48512836760807,0.1260725755185348,7.319854204914854
depth,1-layer adaptive SIM,18.0,6.0,8.0,19.776121114242294,19.71890657088569,0.05721454335660425,91.43061971214061,91.41640206050437,0.014217651636244,5.287606897180495
depth,2-layer adaptive SIM,18.0,6.0,8.0,19.776121114242294,19.72490307749314,0.05121803674915526,91.43061971214061,91.36722129650718,0.0633984156334293,7.80074707580447
depth,3-layer adaptive SIM,18.0,6.0,8.0,19.776121114242294,19.721496222275242,0.05462489196705178,91.43061971214061,91.40208364069446,0.028536071446154665,7.624366389249076
depth,4-layer adaptive SIM,18.0,6.0,8.0,19.776121114242294,19.739876770488067,0.036244343754226804,91.43061971214061,91.48594707788759,0.05532736574697594,7.311589450893614
depth,5-layer adaptive SIM,18.0,6.0,8.0,19.776121114242294,19.712254003169846,0.06386711107244736,91.43061971214061,91.39205230895323,0.03856740318738616,7.006953809848046
depth,1-layer adaptive SIM,18.0,7.0,8.0,18.87089463716554,18.79543690680817,0.07545773035737113,58.364946000708905,58.558371409168316,0.19342540845941159,4.188397717437361
depth,2-layer adaptive SIM,18.0,7.0,8.0,18.87089463716554,18.82278497717699,0.0481096599885511,58.364946000708905,58.277791156446874,0.0871548442620309,7.358245831359481
depth,3-layer adaptive SIM,18.0,7.0,8.0,18.87089463716554,18.824979231356185,0.04591540580935671,58.364946000708905,58.43637695867751,0.07143095796860877,7.124683920722282
depth,4-layer adaptive SIM,18.0,7.0,8.0,18.87089463716554,18.828289048575943,0.0426055885895984,58.364946000708905,58.39104966485239,0.026103664143484195,6.774433130761902
depth,5-layer adaptive SIM,18.0,7.0,8.0,18.87089463716554,18.826790745295234,0.044103891870307166,58.364946000708905,58.20432146272112,0.1606245379877862,6.429006721896727
depth,1-layer adaptive SIM,18.0,8.0,8.0,20.275155492832816,20.233169579868296,0.04198591296452037,79.7545544891706,79.62649176174023,0.1280627274303754,5.379214629286207
depth,2-layer adaptive SIM,18.0,8.0,8.0,20.275155492832816,20.23128045543376,0.043875037399054406,79.7545544891706,79.80389772128166,0.04934323211105607,8.364045328456065
depth,3-layer adaptive SIM,18.0,8.0,8.0,20.275155492832816,20.229924725778147,0.045230767054668775,79.7545544891706,79.65815992016249,0.09639456900811183,8.097739322233455
depth,4-layer adaptive SIM,18.0,8.0,8.0,20.275155492832816,20.2259111930884,0.0492442997444158,79.7545544891706,79.74469491087154,0.009859578299057148,7.740285634833698
depth,5-layer adaptive SIM,18.0,8.0,8.0,20.275155492832816,20.226160906298094,0.04899458653472166,79.7545544891706,79.74064947595946,0.013905013211143569,7.3918294737566175
depth,1-layer adaptive SIM,18.0,9.0,8.0,24.524936291009904,24.46481811911724,0.06011817189266466,62.44875037375173,62.54091332987623,0.09216295612450409,4.853684059657545
depth,2-layer adaptive SIM,18.0,9.0,8.0,24.524936291009904,24.491552938397597,0.03338335261230796,62.44875037375173,62.381217909980094,0.06753246377163435,7.956715212418754
depth,3-layer adaptive SIM,18.0,9.0,8.0,24.524936291009904,24.468383373292315,0.05655291771758897,62.44875037375173,62.51437280320347,0.0656224294517429,7.718209053482749
depth,4-layer adaptive SIM,18.0,9.0,8.0,24.524936291009904,24.481680044898713,0.04325624611119139,62.44875037375173,62.47867131757953,0.02992094382780408,7.3683570228974515
depth,5-layer adaptive SIM,18.0,9.0,8.0,24.524936291009904,24.47587932588024,0.049056965129665286,62.44875037375173,62.51419424961548,0.06544387586374967,7.025145930366151
depth,1-layer adaptive SIM,18.0,10.0,8.0,23.528135168075472,23.401466968517017,0.12666819955845554,57.53492520229328,57.688784243202825,0.15385904090954483,5.211446947687925
depth,2-layer adaptive SIM,18.0,10.0,8.0,23.528135168075472,23.48086694432292,0.04726822375255324,57.53492520229328,57.55607701447036,0.021151812177080842,8.259885205750203
depth,3-layer adaptive SIM,18.0,10.0,8.0,23.528135168075472,23.482984503831016,0.04515066424445635,57.53492520229328,57.46993118309173,0.06499401920154924,8.01345420139193
depth,4-layer adaptive SIM,18.0,10.0,8.0,23.528135168075472,23.479565248701814,0.04856991937365862,57.53492520229328,57.591683372654344,0.05675817036106423,7.662298656102773
depth,5-layer adaptive SIM,18.0,10.0,8.0,23.528135168075472,23.486657350287164,0.04147781778830861,57.53492520229328,57.52780496450555,0.007120237787731298,7.319011390023644
depth,1-layer adaptive SIM,18.0,11.0,8.0,16.3396875843691,16.286040121956926,0.05364746241217233,93.71506551739826,93.70884632925764,0.006219188140619281,5.146644640794637
depth,2-layer adaptive SIM,18.0,11.0,8.0,16.3396875843691,16.29493457795082,0.044753006418279284,93.71506551739826,93.79856943774797,0.08350392034971321,7.340726219349053
depth,3-layer adaptive SIM,18.0,11.0,8.0,16.3396875843691,16.287857413781207,0.05183017058789119,93.71506551739826,93.71941558077255,0.004350063374289448,7.190822542085462
depth,4-layer adaptive SIM,18.0,11.0,8.0,16.3396875843691,16.2943764496822,0.04531113468689796,93.71506551739826,93.6875167522117,0.027548765186551805,6.899119325965763
depth,5-layer adaptive SIM,18.0,11.0,8.0,16.3396875843691,16.28934211881274,0.05034546555635799,93.71506551739826,93.73403581401922,0.018970296620963722,6.6162074641372035
