study,method,bmi,trial,snr_db,respiration_true_bpm,respiration_est_bpm,respiration_abs_error_bpm,heart_true_bpm,heart_est_bpm,heart_abs_error_bpm,spatial_sinr_db
quantization,Continuous phase,18.0,0.0,8.0,20.2173712257664,20.162194922835027,0.05517630293137188,59.7562461851334,59.803322779465255,0.047076594331855404,8.879681451296763
quantization,1-bit phase,18.0,0.0,8.0,20.2173712257664,5.058522433138461,15.15884879262794,59.7562461851334,57.79151637247794,1.964729812655456,-7.209616543714118
quantization,2-bit phase,18.0,0.0,8.0,20.2173712257664,5.191776142303473,15.025595083462926,59.7562461851334,70.80956531093706,11.053319125803661,-7.167735128728054
quantization,3-bit phase,18.0,0.0,8.0,20.2173712257664,20.15689138244045,0.060479843325950355,59.7562461851334,60.585803235822475,0.8295570506890755,4.032663043177363
quantization,4-bit phase,18.0,0.0,8.0,20.2173712257664,20.167227146756026,0.05014407901037288,59.7562461851334,59.64084116652331,0.11540501861009034,6.653195240114624
quantization,6-bit phase,18.0,0.0,8.0,20.2173712257664,20.160735707800765,0.05663551796563482,59.7562461851334,59.84489375289886,0.08864756776546301,8.492294720516494
quantization,Continuous phase,18.0,1.0,8.0,20.2407211345066,20.20297507259311,0.0377460619134915,60.91133460542106,60.87484422642546,0.0364903789956017,9.147855932872021
quantization,1-bit phase,18.0,1.0,8.0,20.2407211345066,18.225694769353712,2.015026365152888,60.91133460542106,65.61963265408092,4.708298048659856,-7.438952746033573
quantization,2-bit phase,18.0,1.0,8.0,20.2407211345066,5.901283008690812,14.33943812581579,60.91133460542106,53.660949515242805,7.250385090178256,-5.642207270799292
quantization,3-bit phase,18.0,1.0,8.0,20.2407211345066,20.20192599213181,0.038795142374791425,60.91133460542106,61.00407344184689,0.09273883642583058,4.077917028950856
quantization,4-bit phase,18.0,1.0,8.0,20.2407211345066,20.2043176597094,0.03640347479720063,60.91133460542106,60.84622380859143,0.06511079682962873,7.026920263465254
quantization,6-bit phase,18.0,1.0,8.0,20.2407211345066,20.20207724867731,0.038643885829291236,60.91133460542106,60.88775642799925,0.02357817742181112,8.770923755203764
quantization,Continuous phase,18.0,2.0,8.0,22.886947270121407,22.83709968949822,0.049847580623186616,86.73194895327799,86.7547683796407,0.022819426362701734,8.663175560372228
quantization,1-bit phase,18.0,2.0,8.0,22.886947270121407,9.33281171141783,13.554135558703576,86.73194895327799,51.59597875507808,35.135970198199914,-7.441586615775877
quantization,2-bit phase,18.0,2.0,8.0,22.886947270121407,11.962587279891181,10.924359990230226,86.73194895327799,48.545515008756546,38.18643394452145,-5.574734789811954
quantization,3-bit phase,18.0,2.0,8.0,22.886947270121407,22.835653654441785,0.051293615679622206,86.73194895327799,86.74985685699757,0.017907903719574847,3.5446841951743195
quantization,4-bit phase,18.0,2.0,8.0,22.886947270121407,22.836493631489258,0.05045363863214902,86.73194895327799,86.65225984074395,0.07968911253404087,6.797623006098271
quantization,6-bit phase,18.0,2.0,8.0,22.886947270121407,22.837390155980877,0.04955711414052999,86.73194895327799,86.74662714138154,0.014678188103545153,8.286186522428853
quantization,Continuous phase,18.0,3.0,8.0,24.318265909992814,24.26699850698202,0.0512674030107938,75.70366372679247,75.76571052830745,0.0620468015149811,8.38056008712812
quantization,1-bit phase,18.0,3.0,8.0,24.318265909992814,7.520657152898231,16.797608757094583,75.70366372679247,95.74809148513715,20.044427758344682,-7.227495621727852
quantization,2-bit phase,18.0,3.0,8.0,24.318265909992814,6.247185996129139,18.071079913863674,75.70366372679247,51.31825443981113,24.385409286981343,-9.240967634688012
quantization,3-bit phase,18.0,3.0,8.0,24.318265909992814,24.268811763774746,0.04945414621806776,75.70366372679247,75.70602123634308,0.002357509550606096,3.7892966657765195
quantization,4-bit phase,18.0,3.0,8.0,24.318265909992814,24.2658621906752,0.05240371931761345,75.70366372679247,75.64499374743386,0.05866997935861207,6.003998721810707
quantization,6-bit phase,18.0,3.0,8.0,24.318265909992814,24.267284954938532,0.05098095505428191,75.70366372679247,75.73938458542959,0.035720858637120045,7.974333982582779
quantization,Continuous phase,18.0,4.0,8.0,10.825752158479524,10.784923800076786,0.04082835840273802,66.73072991766608,66.65591618126419,0.07481373640189304,8.603511062066689
quantization,1-bit phase,18.0,4.0,8.0,10.825752158479524,6.508163345670941,4.317588812808583,66.73072991766608,67.21637055793278,0.48564064026669485,-8.501956155682537
quantization,2-bit phase,18.0,4.0,8.0,10.825752158479524,10.557969161816818,0.26778299666270655,66.73072991766608,54.25504227900794,12.475687638658144,-4.194539075785332
quantization,3-bit phase,18.0,4.0,8.0,10.825752158479524,10.785441347697992,0.040310810781532425,66.73072991766608,66.58607753450273,0.14465238316334705,3.133641444562591
quantization,4-bit phase,18.0,4.0,8.0,10.825752158479524,10.787313311144128,0.03843884733539582,66.73072991766608,66.6404867189886,0.09024319867748432,6.741912193052784
quantization,6-bit phase,18.0,4.0,8.0,10.825752158479524,10.784855350192956,0.04089680828656839,66.73072991766608,66.6540254814686,0.07670443619748823,8.223689941597588
quantization,Continuous phase,18.0,5.0,8.0,20.371905195876543,20.323893267880294,0.048011927996249426,89.66056112765084,89.59620673781555,0.0643543898352874,9.117180511464195
quantization,1-bit phase,18.0,5.0,8.0,20.371905195876543,6.850629447980905,13.521275747895638,89.66056112765084,78.54073789068515,11.119823236965686,-7.704002734251083
quantization,2-bit phase,18.0,5.0,8.0,20.371905195876543,9.57802492638504,10.793880269491503,89.66056112765084,56.98512928294116,32.67543184470968,-6.700602051864428
quantization,3-bit phase,18.0,5.0,8.0,20.371905195876543,20.32395057957103,0.04795461630551401,89.66056112765084,89.58142983729,0.07913129036083433,4.2762164279121535
quantization,4-bit phase,18.0,5.0,8.0,20.371905195876543,20.325233830352964,0.04667136552357931,89.66056112765084,89.57983192175534,0.08072920589549426,6.726865122243904
quantization,6-bit phase,18.0,5.0,8.0,20.371905195876543,20.32412180710136,0.04778338877518351,89.66056112765084,89.57103333773688,0.0895277899139586,8.72821760818849
quantization,Continuous phase,18.0,6.0,8.0,25.096717651568813,25.057811020529776,0.03890663103903691,82.24743280581721,82.251730864494,0.004298058676781125,9.281157766295374
quantization,1-bit phase,18.0,6.0,8.0,25.096717651568813,7.228568548261569,17.868149103307246,82.24743280581721,52.34434365038546,29.90308915543175,-7.740538212493161
quantization,2-bit phase,18.0,6.0,8.0,25.096717651568813,24.95533061551987,0.14138703604894332,82.24743280581721,59.70004639428479,22.547386411532422,-5.043549975356955
quantization,3-bit phase,18.0,6.0,8.0,25.096717651568813,25.058479855150576,0.03823779641823677,82.24743280581721,82.19792184514378,0.049510960673430304,4.103094918242684
quantization,4-bit phase,18.0,6.0,8.0,25.096717651568813,25.055179560635423,0.04153809093338978,82.24743280581721,82.31491450980259,0.06748170398537923,7.135127389458017
quantization,6-bit phase,18.0,6.0,8.0,25.096717651568813,25.05824186586632,0.03847578570249155,82.24743280581721,82.27087755581478,0.02344474999756585,8.909289532448282
quantization,Continuous phase,18.0,7.0,8.0,21.17715871703795,21.130904657983226,0.046254059054724905,57.033372849467234,56.995194256372805,0.03817859309442895,8.91227877214361
quantization,1-bit phase,18.0,7.0,8.0,21.17715871703795,7.329325476140042,13.84783324089791,57.033372849467234,82.18350708061286,25.15013423114562,-7.293081951452653
quantization,2-bit phase,18.0,7.0,8.0,21.17715871703795,8.904278563140888,12.272880153897063,57.033372849467234,62.187029803547716,5.153656954080482,-7.225607739944495
quantization,3-bit phase,18.0,7.0,8.0,21.17715871703795,21.1317552091569,0.0454035078810513,57.033372849467234,56.94387825915769,0.08949459030954188,4.0926595178029705
quantization,4-bit phase,18.0,7.0,8.0,21.17715871703795,21.131123504363647,0.04603521267430466,57.033372849467234,57.01899003357904,0.014382815888197342,6.6322222465184115
quantization,6-bit phase,18.0,7.0,8.0,21.17715871703795,21.13109609483239,0.0460626222055609,57.033372849467234,56.99383662218481,0.039536227282425784,8.522170244592019
quantization,Continuous phase,18.0,8.0,8.0,17.445233078856422,17.40085287923588,0.04438019962054085,67.37725580554306,67.40747365155069,0.030217846007630556,8.968984953835882
quantization,1-bit phase,18.0,8.0,8.0,17.445233078856422,5.723049611036355,11.722183467820066,67.37725580554306,48.79827609777633,18.578979707766727,-7.56516633690155
quantization,2-bit phase,18.0,8.0,8.0,17.445233078856422,5.0397533649554225,12.405479713900998,67.37725580554306,77.6351177841666,10.257861978623538,-5.150946491706217
quantization,3-bit phase,18.0,8.0,8.0,17.445233078856422,17.401829545302494,0.04340353355392779,67.37725580554306,67.28426219857936,0.09299360696370229,3.794686534111627
quantization,4-bit phase,18.0,8.0,8.0,17.445233078856422,17.39725171621436,0.04798136264206221,67.37725580554306,67.79720868886044,0.4199528833173787,7.001279653714652
quantization,6-bit phase,18.0,8.0,8.0,17.445233078856422,17.401970050809126,0.04326302804729565,67.37725580554306,67.38689147514475,0.009635669601692598,8.592921550873957
quantization,Continuous phase,18.0,9.0,8.0,20.218394308361827,20.17337710087775,0.04501720748407578,98.00087991885165,98.11072402789057,0.10984410903891728,7.491164311160144
quantization,1-bit phase,18.0,9.0,8.0,20.218394308361827,7.032839043156727,13.1855552652051,98.00087991885165,55.902584009460774,42.09829590939088,-7.648455380221786
quantization,2-bit phase,18.0,9.0,8.0,20.218394308361827,12.494573104322725,7.723821204039101,98.00087991885165,48.81991413175886,49.180965787092795,-12.427090372516766
quantization,3-bit phase,18.0,9.0,8.0,20.218394308361827,20.179753674307516,0.0386406340543104,98.00087991885165,98.15584215567358,0.15496223682193033,3.2951323133574735
quantization,4-bit phase,18.0,9.0,8.0,20.218394308361827,20.17471938392534,0.04367492443648757,98.00087991885165,98.09687336042334,0.09599344157169298,4.8585780105644965
quantization,6-bit phase,18.0,9.0,8.0,20.218394308361827,20.171941377370665,0.04645293099116188,98.00087991885165,98.12862264632284,0.12774272747118687,7.043414385111571
quantization,Continuous phase,18.0,10.0,8.0,18.623242608487995,18.573765724109094,0.049476884378901076,72.95034287551877,73.03904434248575,0.088701466966981,8.411667168425428
quantization,1-bit phase,18.0,10.0,8.0,18.623242608487995,10.815628834211763,7.807613774276232,72.95034287551877,49.06800346867027,23.8823394068485,-8.147222024665798
quantization,2-bit phase,18.0,10.0,8.0,18.623242608487995,5.504209772603483,13.119032835884513,72.95034287551877,67.60374175969712,5.346601115821656,-4.5217801796249715
quantization,3-bit phase,18.0,10.0,8.0,18.623242608487995,18.575476981386508,0.04776562710148724,72.95034287551877,72.9486307616081,0.0017121139106706096,3.089650368459518
quantization,4-bit phase,18.0,10.0,8.0,18.623242608487995,18.570389767347503,0.052852841140492046,72.95034287551877,73.32346901705752,0.3731261415387479,6.686240076725857
quantization,6-bit phase,18.0,10.0,8.0,18.623242608487995,18.573851974917854,0.04939063357014106,72.95034287551877,73.03712460496413,0.086781729445363,8.026655103560172
quantization,Continuous phase,18.0,11.0,8.0,12.047959307459239,12.002088847531361,0.04587045992787786,96.80254751673966,96.70400973999635,0.09853777674331354,9.046253294735001
quantization,1-bit phase,18.0,11.0,8.0,12.047959307459239,5.8723188458837505,6.1756404615754885,96.80254751673966,57.0794289305932,39.72311858614646,-7.555584038901218
quantization,2-bit phase,18.0,11.0,8.0,12.047959307459239,12.037915778451639,0.010043529007599972,96.80254751673966,56.04539599940675,40.757151517332915,-6.9349407403784795
quantization,3-bit phase,18.0,11.0,8.0,12.047959307459239,12.001882461679148,0.046076845780090636,96.80254751673966,96.73610544743926,0.06644206930040752,4.226764037709022
quantization,4-bit phase,18.0,11.0,8.0,12.047959307459239,12.004028918125712,0.043930389333526776,96.80254751673966,96.72154410046312,0.08100341627654473,6.68298379909786
