method,bmi,trial,snr_db,respiration_true_bpm,respiration_est_bpm,respiration_abs_error_bpm,heart_true_bpm,heart_est_bpm,heart_abs_error_bpm,spatial_sinr_db
No intelligent surface,18.0,7.0,8.0,22.97503872164525,8.509215893092824,14.465822828552428,91.53640502491088,52.95665948160782,38.579745543303055,-7.597761522575989
Digital MVDR array (BMI-adaptive),18.0,7.0,8.0,22.97503872164525,22.924124211454753,0.05091451019049842,91.53640502491088,91.4605991862279,0.07580583868298163,9.161293389365946
1-layer RIS (BMI-adaptive),18.0,7.0,8.0,22.97503872164525,22.928443559998392,0.046595161646859395,91.53640502491088,91.55758245021883,0.021177425307953968,5.349404200466341
3-layer SIM (universal),18.0,7.0,8.0,22.97503872164525,22.919863139081784,0.055175582563467884,91.53640502491088,91.41510503483173,0.1212999900791516,7.811678904285314
3-layer SIM (BMI-adaptive),18.0,7.0,8.0,22.97503872164525,22.931825881327807,0.043212840317444545,91.53640502491088,91.5331110797036,0.0032939452072753284,9.096802327133055
No intelligent surface,18.0,8.0,8.0,17.871234173123664,4.131406393542025,13.739827779581638,68.59307993888818,54.942033223860314,13.651046715027867,-7.597797355541754
Digital MVDR array (BMI-adaptive),18.0,8.0,8.0,17.871234173123664,17.814432658309702,0.05680151481396223,68.59307993888818,68.57844634619288,0.014633592695304287,9.123245467483104
1-layer RIS (BMI-adaptive),18.0,8.0,8.0,17.871234173123664,17.82583933603253,0.04539483709113412,68.59307993888818,68.95870361406335,0.365623675175172,5.405262902089021
3-layer SIM (universal),18.0,8.0,8.0,17.871234173123664,17.811230157097647,0.060004016026017126,68.59307993888818,68.56698530235501,0.026094636533173343,7.671547935905579
3-layer SIM (BMI-adaptive),18.0,8.0,8.0,17.871234173123664,17.829965216541662,0.04126895658200169,68.59307993888818,68.89647163596415,0.30339169707596625,9.058911059039294
No intelligent surface,18.0,9.0,8.0,19.15162092095904,19.070125988093505,0.08149493286553522,87.80761194130714,62.2968557797751,25.510756161532044,-7.597824556833062
Digital MVDR array (BMI-adaptive),18.0,9.0,8.0,19.15162092095904,19.1168499068095,0.0347710141495412,87.80761194130714,87.77711654096794,0.030495400339205503,7.9646575603477965
1-layer RIS (BMI-adaptive),18.0,9.0,8.0,19.15162092095904,19.135500587537436,0.016120333421604016,87.80761194130714,87.53264812586417,0.2749638154429732,4.2065451160589085
3-layer SIM (universal),18.0,9.0,8.0,19.15162092095904,19.116537873793533,0.03508304716550725,87.80761194130714,87.90244345049518,0.09483150918804029,6.0178530591626975
3-layer SIM (BMI-adaptive),18.0,9.0,8.0,19.15162092095904,19.094324941002,0.05729597995703983,87.80761194130714,87.7276904459048,0.0799214954023455,7.517988305916397
No intelligent surface,22.0,0.0,8.0,22.169440320006846,9.331982033198072,12.837458286808774,76.60438288260809,58.35231843029514,18.25206445231295,-7.543754515855713
Digital MVDR array (BMI-adaptive),22.0,0.0,8.0,22.169440320006846,22.133586425143136,0.03585389486370971,76.60438288260809,76.55703406079752,0.04734882181057287,6.502913405022966
1-layer RIS (BMI-adaptive),22.0,0.0,8.0,22.169440320006846,22.120517262160185,0.04892305784666107,76.60438288260809,76.46823979961252,0.13614308299557365,3.740149123563146
3-layer SIM (universal),22.0,0.0,8.0,22.169440320006846,22.05919138850134,0.11024893150550596,76.60438288260809,76.78146915783178,0.17708627522368658,5.24118583859161
3-layer SIM (BMI-adaptive),22.0,0.0,8.0,22.169440320006846,22.117340434105415,0.052099885901430554,76.60438288260809,76.5209667819227,0.08341610068539751,6.54792737629532
No intelligent surface,22.0,1.0,8.0,19.77845811260413,19.492073609168834,0.286384503435297,96.54647752178997,58.24926258168667,38.297214940103295,-7.544297425562255
Digital MVDR array (BMI-adaptive),22.0,1.0,8.0,19.77845811260413,19.72367955831303,0.05477855429110079,96.54647752178997,96.6015722282461,0.05509470645613135,5.948852381322616
1-layer RIS (BMI-adaptive),22.0,1.0,8.0,19.77845811260413,19.739884139444072,0.03857397316005873,96.54647752178997,96.61679401950919,0.07031649771921877,3.6233091515712372
3-layer SIM (universal),22.0,1.0,8.0,19.77845811260413,19.71360742882892,0.0648506837752123,96.54647752178997,96.67074405932314,0.12426653753317396,4.64919183146333
3-layer SIM (BMI-adaptive),22.0,1.0,8.0,19.77845811260413,19.74134143809183,0.03711667451230127,96.54647752178997,96.60676378373464,0.06028626194466824,6.10609257199156
No intelligent surface,22.0,2.0,8.0,23.112773065990346,7.108257632428528,16.004515433561817,79.28839807429885,65.2747351433207,14.013662930978157,-7.543502951058976
Digital MVDR array (BMI-adaptive),22.0,2.0,8.0,23.112773065990346,23.063032253077036,0.049740812913309895,79.28839807429885,79.33927902865435,0.05088095435549178,5.908512671950255
1-layer RIS (BMI-adaptive),22.0,2.0,8.0,23.112773065990346,23.068209107773235,0.04456395821711112,79.28839807429885,79.08385533634865,0.20454273795020583,2.97888214876908
3-layer SIM (universal),22.0,2.0,8.0,23.112773065990346,23.066878771579987,0.04589429441035975,79.28839807429885,79.31411870514626,0.025720630847402504,5.101498579526462
3-layer SIM (BMI-adaptive),22.0,2.0,8.0,23.112773065990346,23.068395585206673,0.04437748078367321,79.28839807429885,79.27294590510996,0.015452169188890252,5.954094664670002
No intelligent surface,22.0,3.0,8.0,12.290779542520008,12.341521749251157,0.05074220673114915,62.87379628247866,57.57124478621487,5.3025514962637885,-7.543617630232712
Digital MVDR array (BMI-adaptive),22.0,3.0,8.0,12.290779542520008,12.234716408645484,0.056063133874523885,62.87379628247866,62.99772530315925,0.12392902068059186,6.5462018896178495
1-layer RIS (BMI-adaptive),22.0,3.0,8.0,12.290779542520008,12.241813242215361,0.04896630030464699,62.87379628247866,63.09741790831754,0.2236216258388808,3.6949359771287336
3-layer SIM (universal),22.0,3.0,8.0,12.290779542520008,12.240735281551963,0.05004426096804515,62.87379628247866,62.903383549471,0.02958726699234404,5.261403045804784
3-layer SIM (BMI-adaptive),22.0,3.0,8.0,12.290779542520008,12.23639365487251,0.05438588764749852,62.87379628247866,62.981621815397624,0.1078255329189659,6.548109343939398
No intelligent surface,22.0,4.0,8.0,24.49655674546339,9.006204949152881,15.49035179631051,71.05932279887321,45.91245987291997,25.146862925953243,-7.543799767162782
Digital MVDR array (BMI-adaptive),22.0,4.0,8.0,24.49655674546339,24.415101965388814,0.0814547800745764,71.05932279887321,51.584090686961915,19.475232111911296,2.347723212179441
1-layer RIS (BMI-adaptive),22.0,4.0,8.0,24.49655674546339,24.428818101094027,0.0677386443693635,71.05932279887321,70.79703691892745,0.2622858799457646,0.4696183441327035
3-layer SIM (universal),22.0,4.0,8.0,24.49655674546339,24.546351145382268,0.04979439991887702,71.05932279887321,50.26924017554132,20.79008262333189,0.6926849621112838
3-layer SIM (BMI-adaptive),22.0,4.0,8.0,24.49655674546339,24.48157587494298,0.01498087052041086,71.05932279887321,70.90147741676779,0.1578453821054211,1.87006792212117
No intelligent surface,22.0,5.0,8.0,20.019028532045603,5.040608171923849,14.978420360121753,58.92963077624817,47.92538439301992,11.00424638322825,-7.5435274871991655
Digital MVDR array (BMI-adaptive),22.0,5.0,8.0,20.019028532045603,19.96279649421216,0.05623203783344266,58.92963077624817,59.00691998444883,0.07728920820066065,6.459288964384236
